building_name,school_math_proficiency_percent
"Wright, Charles School",62.56983240223464
Chrysler Elementary School,56.52173913043478
Bates Academy,49.02654867256637
Davison Elementary-Middle School,45.852534562211986
Burton International School,36.81318681318682
Dixon Elementary School,35.50420168067227
Pasteur Elementary School,26.380368098159508
Greenfield Union Elementary-Middle School,24.516129032258064
Thirkell Elementary School,23.52941176470588
Cooke Elementary School,22.905027932960895
