currentsummativescore,effectiveness,all_dom_quartile,all_dom_avg,dom2_dom3_avg,dom23_quartile,pst_quartile,principal_effectiveness
2.535,2.0,1.0,2.0,2.0,1.0,1.0,3.0
2.7285,2.0,1.0,2.1666666666666665,1.8333333333333335,1.0,3.0,1.0
2.876,2.0,4.0,3.8333333333333335,4.0,4.0,4.0,2.0
2.8405,3.0,2.0,2.9166666666666665,2.6666666666666665,2.0,4.0,3.0
2.647,2.0,2.0,3.0,2.5,1.0,2.0,2.0
2.378,2.0,1.0,2.3333333333333335,2.666666666666667,2.0,1.0,0.0
2.5875,4.0,1.0,2.0,2.0,1.0,2.0,2.0
2.478,2.0,2.0,3.0,2.833333333333333,2.0,1.0,3.0
2.769,2.0,1.0,1.9166666666666667,1.8333333333333335,1.0,3.0,2.0
2.7065,1.0,2.0,2.5833333333333335,2.666666666666667,2.0,3.0,2.0
2.644,3.0,2.0,3.0,3.0,2.0,2.0,2.0
2.8625,2.0,3.0,3.25,3.5,3.0,4.0,3.0
2.956,3.0,4.0,4.166666666666667,4.0,4.0,4.0,4.0
2.11,2.0,4.0,4.25,4.0,4.0,1.0,2.0
2.8,2.0,4.0,3.75,3.0,2.0,3.0,3.0
2.5965,2.0,3.0,3.5,3.333333333333333,3.0,2.0,2.0
2.5375,1.0,2.0,2.75,3.166666666666667,3.0,1.0,3.0
2.669,3.0,3.0,3.1666666666666665,3.1666666666666665,3.0,2.0,3.0
2.322,2.0,2.0,2.5833333333333335,2.666666666666667,2.0,1.0,3.0
2.6565,2.0,3.0,3.4166666666666665,3.333333333333333,3.0,2.0,3.0
2.8185,2.0,3.0,3.333333333333333,3.333333333333333,3.0,3.0,3.0
2.8625,2.0,4.0,3.8333333333333335,3.166666666666667,3.0,4.0,2.0
2.844,2.0,1.0,1.9166666666666667,1.8333333333333335,1.0,4.0,2.0
2.89,2.0,3.0,3.1666666666666665,3.0,2.0,4.0,2.0
2.8185,3.0,4.0,4.333333333333333,4.166666666666666,4.0,3.0,3.0
2.681,3.0,3.0,3.0833333333333335,3.166666666666667,3.0,2.0,2.0
2.8535,4.0,3.0,3.25,3.0,2.0,4.0,2.0
2.525,2.0,2.0,3.0,3.333333333333333,3.0,1.0,2.0
2.8725,2.0,1.0,2.0,2.0,1.0,4.0,2.0
2.725,2.0,3.0,3.1666666666666665,3.0,2.0,3.0,3.0
2.6185,1.0,3.0,3.0833333333333335,3.166666666666667,3.0,2.0,3.0
2.769,1.0,1.0,2.0,2.0,1.0,3.0,2.0
2.916,2.0,2.0,3.0,3.0,2.0,4.0,3.0
2.8625,3.0,4.0,4.916666666666667,5.0,4.0,4.0,3.0
2.8935,2.0,2.0,3.0,2.666666666666667,2.0,4.0,3.0
2.8,2.0,3.0,3.583333333333333,3.333333333333333,3.0,3.0,3.0
2.9065,2.0,4.0,4.333333333333333,4.666666666666666,4.0,4.0,4.0
2.3525,3.0,4.0,4.166666666666666,4.166666666666666,4.0,1.0,2.0
2.681,2.0,1.0,2.0,2.0,1.0,2.0,2.0
2.9065,2.0,2.0,3.0,3.0,2.0,4.0,3.0
2.8665,3.0,3.0,3.0833333333333335,3.166666666666667,3.0,4.0,2.0
2.769,2.0,4.0,4.0,4.166666666666667,4.0,3.0,2.0
2.5845,1.0,2.0,2.583333333333333,2.333333333333333,1.0,2.0,2.0
2.81,3.0,4.0,3.6666666666666665,3.5,3.0,3.0,2.0
2.625,2.0,1.0,2.0,2.0,1.0,2.0,3.0
2.572,2.0,1.0,2.4166666666666665,2.333333333333333,1.0,2.0,3.0
2.535,2.0,2.0,2.5833333333333335,2.0,1.0,1.0,3.0
2.6625,2.0,1.0,2.0833333333333335,2.0,1.0,2.0,2.0
2.8625,2.0,4.0,3.9166666666666665,3.833333333333333,4.0,4.0,4.0
2.3965,2.0,3.0,3.5,3.5,3.0,1.0,1.0
2.5655,1.0,1.0,1.6666666666666665,2.1666666666666665,1.0,2.0,2.0
2.569,2.0,2.0,2.5,2.166666666666667,1.0,2.0,2.0
2.778,2.0,4.0,3.75,3.833333333333333,4.0,3.0,1.0
2.4525,2.0,1.0,2.25,2.6666666666666665,2.0,1.0,3.0
2.46,1.0,1.0,1.75,1.5,1.0,1.0,0.0
