dom2_dom3_avg,percent,count
1.8333333333333335,0.043478260869565216,1
2.0,0.21739130434782608,5
2.166666666666667,0.043478260869565216,1
2.333333333333333,0.043478260869565216,1
2.6666666666666665,0.08695652173913043,2
2.666666666666667,0.08695652173913043,2
3.0,0.17391304347826086,4
3.333333333333333,0.043478260869565216,1
3.5,0.08695652173913043,2
3.6666666666666665,0.043478260869565216,1
4.0,0.043478260869565216,1
4.166666666666666,0.043478260869565216,1
4.166666666666667,0.043478260869565216,1
