DBN,Renewal
01M015 ,Yes
01M292 ,Yes
03M149 ,Yes
03M415 ,Yes
04M050 ,Yes
04M377 ,Yes
04M409 ,Yes
05M123 ,Yes
05M194 ,Yes
06M132 ,Yes
06M468 ,Yes
06M528 ,Yes
07X154 ,Yes
07X162 ,Yes
07X547 ,Yes
08X123 ,Yes
08X301 ,Yes
08X332 ,Yes
08X375 ,Yes
08X405 ,Yes
08X424 ,Yes
08X530 ,Yes
09X022 ,Yes
09X117 ,Yes
09X145 ,Yes
09X219 ,Yes
09X227 ,Yes
09X276 ,Yes
09X313 ,Yes
09X324 ,Yes
09X325 ,Yes
09X328 ,Yes
09X329 ,Yes
09X339 ,Yes
09X412 ,Yes
10X080 ,Yes
10X085 ,Yes
10X331 ,Yes
10X363 ,Yes
10X391 ,Yes
10X438 ,Yes
10X440 ,Yes
11X112 ,Yes
11X289 ,Yes
11X370 ,Yes
12X092 ,Yes
12X217 ,Yes
12X286 ,Yes
12X384 ,Yes
12X463 ,Yes
12X692 ,Yes
13K067 ,Yes
13K301 ,Yes
14K050 ,Yes
14K071 ,Yes
14K610 ,Yes
16K393 ,Yes
16K455 ,Yes
16K584 ,Yes
17K352 ,Yes
18K566 ,Yes
18K581 ,Yes
19K306 ,Yes
19K311 ,Yes
19K328 ,Yes
19K583 ,Yes
19K659 ,Yes
23K165 ,Yes
23K284 ,Yes
23K298 ,Yes
23K493 ,Yes
24Q296 ,Yes
25Q460 ,Yes
26Q435 ,Yes
27Q042 ,Yes
27Q053 ,Yes
27Q197 ,Yes
27Q400 ,Yes
27Q475 ,Yes
27Q480 ,Yes
28Q008 ,Yes
30Q111 ,Yes
30Q450 ,Yes
32K291 ,Yes
32K349 ,Yes
32K552 ,Yes
